Object Number,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
1986.237,FALSE,TRUE,1503,704,The American Wing,1986,Celery vase,Celery vase,American,,,,,113,Maker,Attributed to,Boston & Sandwich Glass Company,"American, 1825–1888, Sandwich, Massachusetts", ,Boston and Sandwich Glass Company ,American,1825,1888,,http://vocab.getty.edu/page/ulan/500334773,https://www.wikidata.org/wiki/Q4948224,1827–35,1827,1835,Pressed glass,H. 7 5/16 in. (18.6 cm); Diam. 4 9/16 in. (11.6 cm),"Purchase, Mr. and Mrs. Paul Greenwood Gift, 1986",Made in,Sandwich,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1503,https://www.wikidata.org/wiki/Q29382887,,"Metropolitan Museum of Art, New York, NY",Tulips,http://vocab.getty.edu/page/aat/300379705,https://www.wikidata.org/wiki/Q30345409
1987.12,TRUE,TRUE,1524,706,The American Wing,1987,Vase,Century Vase,American,,,,,1355127,Maker|Maker, | ,Karl L. H. Müller|Union Porcelain Works,1820–1887|1863–1922, | ,"Müller, Karl L. H.|Union Porcelain Works ",American|American,1820      |1863      ,1890      |1922      ,|,http://vocab.getty.edu/page/ulan/500332076|http://vocab.getty.edu/page/ulan/500333024,|https://www.wikidata.org/wiki/Q18356506,1877,1877,1877,Porcelain,12 3/4 x 10 1/4 in. (32.4 x 26 cm),"Friends of the American Wing Fund, 1987",Made in,Brooklyn,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1524,https://www.wikidata.org/wiki/Q29382890,,"Metropolitan Museum of Art, New York, NY",Animals|George Washington,http://vocab.getty.edu/page/aat/300249525|http://vocab.getty.edu/page/ulan/500126198,https://www.wikidata.org/wiki/Q729|https://www.wikidata.org/wiki/Q23
1984.21,FALSE,TRUE,1650,717,The American Wing,1984,Side chair,Side chair,American,,,,,,,,,,,,,,,,,,1750–60,1750,1760,"Walnut, maple, white pine",38 5/8 x 22 x 21 1/2 in. (98.1 x 55.9 x 54.6 cm),"Gift of Mr. and Mrs. Benjamin Ginsburg, 1984",Made in,,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1650,https://www.wikidata.org/wiki/Q104412965,,"Metropolitan Museum of Art, New York, NY",,,
1974.325,TRUE,TRUE,1662,719,The American Wing,1974,Side Chair,Side Chair,American,,,,,20351120351,Maker|Maker,Possibly carved by|Attributed to,Hercules Courtenay|Benjamin Randolph,"American (born England), 1744–1784|American, 1737–1792", | ,"Courtenay, Hercules|Randolph, Benjamin",American|American,1744      |1737      ,1784      |1792      ,|,|http://vocab.getty.edu/page/ulan/500084141,|https://www.wikidata.org/wiki/Q16859499,ca. 1769,1764,1774,"Mahogany, northern white cedar",37 x 22 1/2 x 23 in. (94 x 57.2 x 58.4 cm),"Purchase, Sansbury-Mills and Rogers Funds, Emily Crane Chadbourne Gift, Virginia Groomes Gift, in memory of Mary W. Groomes, Mr. and Mrs. Marshall P. Blankarn, John Bierwirth and Robert G. Goelet Gifts, The Sylmaris Collection, Gift of George Coe Graves, by exchange, Gift of Mrs. Russell Sage, by exchange, and funds from various donors, 1974",Made in,Philadelphia,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1662,https://www.wikidata.org/wiki/Q104412966,,"Metropolitan Museum of Art, New York, NY",,,
62.16,TRUE,TRUE,1674,714,The American Wing,1962,Side Chair,Side Chair,American,,,,,111,Maker,Attributed to,Samuel McIntire,1757–1811, ,"McIntire, Samuel",American,1757,1811,,http://vocab.getty.edu/page/ulan/500023295,https://www.wikidata.org/wiki/Q370420,1794–99,1794,1799,"Mahogany, ebony, ash, birch, white pine",37 7/8 x 27 7/8 x 18 in. (96.2 x 70.8 x 45.7 cm),"Friends of the American Wing Fund, 1962",Made in,Salem,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1674,https://www.wikidata.org/wiki/Q29382893,,"Metropolitan Museum of Art, New York, NY",,,
65.167.6,FALSE,TRUE,1815,733,The American Wing,1965,Side Chair,Side Chair,American,,,,,1332133,Maker|Maker,Attributed to|Attributed to,John Finlay|Hugh Finlay,active ca. 1799–1833|active ca. 1800–37, | ,"Finlay, John|Finlay, Hugh", |American,1796      |1797      ,1833      |1837      ,|,http://vocab.getty.edu/page/ulan/500081342|http://vocab.getty.edu/page/ulan/500110217,|,1815–20,1815,1820,"Maple, painted and gilded, cane",34 x 20 5/8 x 22 1/4 in. (86.4 x 52.4 x 56.5 cm),"Purchase, Mrs. Paul Moore Gift, 1965",Made in,Baltimore,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1815,https://www.wikidata.org/wiki/Q29382896,,"Metropolitan Museum of Art, New York, NY",Griffins,http://vocab.getty.edu/page/aat/300379594,https://www.wikidata.org/wiki/Q130223
2012.574a–c,FALSE,TRUE,1981,704,The American Wing,2012,Inkstand,Inkstand,American,,,,,139,Maker, ,William Crolius, , ,"Crolius, William",American,          ,9999,,,,1773,1773,1773,Stoneware,2 1/8 x 5 x 5 1/2 in. (5.4 x 12.7 x 14 cm),"Gift of David Bronstein, 2012",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1981,https://www.wikidata.org/wiki/Q116390895,,"Metropolitan Museum of Art, New York, NY",,,
10.125.685,TRUE,TRUE,1997,708,The American Wing,1910,Chest,Chest,American,,,,,1399140,Maker|Maker,Possibly| ,William Searle|Thomas Dennis,died 1667|1638–1706, | ,"Searle, William|Dennis, Thomas", |American,1611      |1638      ,1667      |1706      ,|,http://vocab.getty.edu/page/ulan/500072676|http://vocab.getty.edu/page/ulan/500097372,|https://www.wikidata.org/wiki/Q97999847,1663–80,1663,1680,"White oak, red oak",29 3/4 x 49 1/8 x 21 3/8 in. (75.6 x 124.8 x 54.3 cm),"Gift of Mrs. Russell Sage, 1909",Made in,Ipswich,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1997,https://www.wikidata.org/wiki/Q29382899,,"Metropolitan Museum of Art, New York, NY",,,
1983.598,FALSE,FALSE,1999,743,The American Wing,1983,Chest,Chest,American,,,,,16247,Maker, ,Gustav Stickley,"American, Osceola, Wisconsin 1858–1942 Syracuse, New York", ,"Stickley, Gustav",American,1858,1942,,http://vocab.getty.edu/page/ulan/500018304,https://www.wikidata.org/wiki/Q5621226,ca. 1903,1900,1903,"Oak, cedar, and wrought iron",25 3/4 x 40 5/8 x 20 3/8 in. (65.4 x 103.2 x 51.8 cm),"Gift of Ben Wiles Jr., 1983",Made in,Syracuse,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1999,https://www.wikidata.org/wiki/Q116371836,,"Metropolitan Museum of Art, New York, NY",,,
27.57.1,TRUE,TRUE,2022,717,The American Wing,1927,Chest of drawers,Chest of drawers,American,,,,,129,Maker, ,John Townsend,1732–1809, ,"Townsend, John",American,1732,1809,,http://vocab.getty.edu/page/ulan/500062602,https://www.wikidata.org/wiki/Q56006667,1765,1765,1765,"Mahogany, tulip poplar, pine, chestnut",34 1/2 x 37 1/2 x 20 3/4 in. (87.6 x 95.3 x 52.7 cm),"Rogers Fund, 1927",Made in,Newport,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/2022,https://www.wikidata.org/wiki/Q104412967,,"Metropolitan Museum of Art, New York, NY",,,
2002.62,TRUE,FALSE,2046,743,The American Wing,2002,Hair jewelry,Hair Ornament,American,,,,,16254,Maker, ,Louis C. Tiffany,"American, New York 1848–1933 New York", ,"Tiffany, Louis C.",American,1848,1933,,http://vocab.getty.edu/page/ulan/500030415,https://www.wikidata.org/wiki/Q312950,ca. 1904,1901,1907,"Gold, silver, platinum, black opals, boulder opals, demantoid garnets, rubies, enamel.",H. 3 1/4 in. (8.3 cm),"Gift of Linden Havemeyer Wise, in memory of Louisine W. Havemeyer, 2002",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/2046,,,"Metropolitan Museum of Art, New York, NY",Dragonflies,http://vocab.getty.edu/page/aat/300310476,https://www.wikidata.org/wiki/Q80066
33.120.221,TRUE,TRUE,2059,750,The American Wing,1933,Chocolate Pot,Chocolate Pot,American,,,,,132,Maker, ,Edward Winslow,1669–1753, ,"Winslow, Edward",American,1669,1753,,http://vocab.getty.edu/page/ulan/500077139,https://www.wikidata.org/wiki/Q56451893,1700–1710,1700,1710,Silver,"Overall: 9 1/8 x 6 3/4 x 5 13/16 in. (23.2 x 17.1 x 14.8 cm); 23 oz. (715.4 g)
Foot: Diam. 3 15/16 in. (10 cm)","Bequest of Alphonso T. Clearwater, 1933",Made in,Boston,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/2059,https://www.wikidata.org/wiki/Q29382902,,"Metropolitan Museum of Art, New York, NY",Coat of Arms,http://vocab.getty.edu/page/aat/300126352,https://www.wikidata.org/wiki/Q14659
1972.232.1,FALSE,TRUE,2211,706,The American Wing,1972,Compote,Compote,American,,,,,224,Artist, ,Long Island Flint Glass Works of Christian Dorflinger,1852–63, ,"Dorflinger Christian, Long Island Flint Glass Works of",American,1852,1863,,,,1861,1861,1861,"Blown, cut, and engraved glass",H. 7 1/2 in. (19.1 cm),"Gift of Katheryn Hait Dorflinger Manchee, 1972",Made in,Brooklyn,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/2211,https://www.wikidata.org/wiki/Q104412968,,"Metropolitan Museum of Art, New York, NY",Eagles,http://vocab.getty.edu/page/aat/300250049,https://www.wikidata.org/wiki/Q2092297
"28.52a, b",TRUE,TRUE,2390,704,The American Wing,1928,Goblet,Covered goblet,American,,,,,1459203,Maker|Maker, | ,New Bremen Glass Manufactory|John Frederick Amelung,1784–1795|active 1784–ca. 1791, | ,"New Bremen Glass Manufactory |Amelung, John Frederick", |American,1784      |1784      ,1795      |1791      ,|,http://vocab.getty.edu/page/ulan/500331795|http://vocab.getty.edu/page/ulan/500109506,https://www.wikidata.org/wiki/Q4742351|https://www.wikidata.org/wiki/Q16934790,1788,1788,1788,Blown and engraved glass,H. 11 1/4 in. (28.6 cm),"Rogers Fund, 1928",Made in,New Bremen,Frederick County,Frederick County,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/2390,https://www.wikidata.org/wiki/Q29382904,,"Metropolitan Museum of Art, New York, NY",Coat of Arms,http://vocab.getty.edu/page/aat/300126352,https://www.wikidata.org/wiki/Q14659
18.95.16,FALSE,TRUE,2408,704,The American Wing,1918,Sugar pot,Sugar pot,American,,,,,,,,,,,,,,,,,,1820–40,1820,1840,Earthenware with slip decoration,H. 12 3/4 in. (32.4 cm); Diam. 10 in. (25.4 cm),"Rogers Fund, 1918",Made in,,Alamance,Alamance,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/2408,https://www.wikidata.org/wiki/Q29382908,,"Metropolitan Museum of Art, New York, NY",,,
69.203,FALSE,TRUE,3152,723,The American Wing,1969,Desk and bookcase,Desk and Bookcase,American,,,,,,,,,,,,,,,,,,ca. 1811,1808,1811,"Mahogany, satinwood, maple, verre églomisé
with cedar",91 x 72 x 19 1/8 in. (231.1 x 182.9 x 48.6 cm),"Gift of Mrs. Russell Sage and various other donors, by exchange, 1969",Made in,Baltimore,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/3152,https://www.wikidata.org/wiki/Q29382914,,"Metropolitan Museum of Art, New York, NY",,,
"60.29.1a, b",FALSE,TRUE,3158,733,The American Wing,1960,Secretary bookcase,Secretary-bookcase,American,,,,,18866,Maker,Possibly by,Robert Fisher,"American, active 1824–37", ,"Fisher, Robert",American,1824,1837,,,,1825–35,1825,1835,"Ebonized mahogany, mahogany, mahogany veneer, gilding, bronzing, stamped brass ornaments, and glass (secondary woods: pine, poplar, cherry)
",102 x 55 3/4 x 28 1/8 in. (259.1 x 141.6 x 71.4 cm),"Gift of Francis Hartman Markoe, 1960",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/3158,https://www.wikidata.org/wiki/Q29382917,,"Metropolitan Museum of Art, New York, NY",,,
23.16,FALSE,TRUE,3395,751,The American Wing,1923,Dower chest,Chest,American,,,,,,,,,,,,,,,,,,ca. 1780,1777,1780,"Yellow pine, tulip poplar",28 5/8 x 52 1/2 x 23 in. (72.7 x 133.4 x 58.4 cm),"Rogers Fund, 1923",Made in,,Berks County,Berks County,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/3395,https://www.wikidata.org/wiki/Q104412969,,"Metropolitan Museum of Art, New York, NY",Horses|Birds|Unicorns|Flowers,http://vocab.getty.edu/page/aat/300250148|http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300379595|http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q726|https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q7246|https://www.wikidata.org/wiki/Q506
50.228.3,TRUE,TRUE,3497,,The American Wing,1950,Easy chair,Easy Chair,American,,,,,158,Maker, ,Caleb Gardner,died 1761, ,"Gardner, Caleb",American,1711,1761,,http://vocab.getty.edu/page/ulan/500331843,,1758,1758,1758,"Walnut, maple",46 3/8 x 32 3/8 x 25 7/8 in. (117.8 x 82.2 x 65.7 cm),"Gift of Mrs. J. Insley Blair, 1950",Made in,Newport,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/3497,https://www.wikidata.org/wiki/Q29382919,,"Metropolitan Museum of Art, New York, NY",Birds|Strawberries|Deer|Flowers|Landscapes|Trees,http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300375414|http://vocab.getty.edu/page/aat/300250308|http://vocab.getty.edu/page/aat/300132399|http://vocab.getty.edu/page/aat/300132294|http://vocab.getty.edu/page/aat/300132410,https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q745|https://www.wikidata.org/wiki/Q685795|https://www.wikidata.org/wiki/Q506|https://www.wikidata.org/wiki/Q191163|https://www.wikidata.org/wiki/Q10884
1971.219,FALSE,TRUE,3555,736,The American Wing,1971,Étagère,Étagère,American,,,,,119,Maker, ,Alexander Roux,1813–1886, ,"Roux, Alexander",French,1813,1886,,(not assigned),https://www.wikidata.org/wiki/Q4719984,ca. 1855,1855,1855,"Rosewood, rosewood veneer; chestnut, tulip poplar, bird's-eye maple (secondary woods)",86 x 79 1/2 x 31 3/4 in. (218.4 x 201.9 x 80.6 cm),"Sansbury-Mills Fund, 1971",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/3555,https://www.wikidata.org/wiki/Q29382922,,"Metropolitan Museum of Art, New York, NY",,,
