title,date_start,artist_display,place_of_origin,medium_display,credit_line,publication_history,exhibition_history,artwork_type_title,department_title,style_title,classification_title,museum,museum_location
Wearing Blanket,1880,"Unknown weaver 
Navajo (Diné), active late 19th century
Navajo Nation (parts of Arizona, New Mexico, and Utah)",Navajo,"Wool, wedge tapestry weave",Gift of the Powell Family in memory of their parents Father Peter Powell and Virginia Raisch Powell,,,Textile,Textiles,navajo,blanket (covering),Art Institute of Chicago,USA
Queen Margaret of Spain,1601,"Andrés López Polanco
Spanish, c. 1570-1641",Spain,Oil on canvas,"Gift of Mrs. Sydney Gorham and Mrs. Walter Kohler, Jr.;Mrs. James Conger, Eugene McVoy in memory of Mr. and Mrs. Eugene McVoy",,,Painting,Painting and Sculpture of Europe,,oil on canvas,Art Institute of Chicago,USA
The Ratcatcher,1845,"Robert Petzsch (German, 1827-1895)
Rudolf Gleichauf (German, 1826-1896)",Germany,Etching in black on cream wove paper,Mr. and Mrs. Henry C. Woods Endowment Fund,,,Print,Prints and Drawings,,prints and drawing,Art Institute of Chicago,USA
Cinderella,1848,"Eugen Napoleon Neureuther
German, 1806-1882",Germany,Etching on ivory wove paper,Jeffrey Shedd and Departmental Purchase funds,,,Print,Prints and Drawings,,etching,Art Institute of Chicago,USA
"There is Plenty to Suck, plate 45 from Los Caprichos",1797,"Francisco José de Goya y Lucientes
Spanish, 1746-1828",Spain,Etching and aquatint on ivory laid paper,Clarence Buckingham Collection,,,Print,Prints and Drawings,,etching,Art Institute of Chicago,USA
"She Prays for Her, plate 31 from Los Caprichos",1797,"Francisco José de Goya y Lucientes
Spanish, 1746-1828",Spain,Etching and aquatint on ivory laid paper,Clarence Buckingham Collection,,,Print,Prints and Drawings,,etching,Art Institute of Chicago,USA
"She Fleeces him, plate 35 from Los Caprichos",1797,"Francisco José de Goya y Lucientes
Spanish, 1746-1828",Spain,Etching and aquatint on ivory laid paper,Clarence Buckingham Collection,,,Print,Prints and Drawings,,etching,Art Institute of Chicago,USA
"Because She Was Susceptible, plate 32 from Los Caprichos",1797,"Francisco José de Goya y Lucientes
Spanish, 1746-1828",Spain,Aquatint on ivory laid paper,Clarence Buckingham Collection,,,Print,Prints and Drawings,,etching,Art Institute of Chicago,USA
"They've Already Got a Seat (i.e. bottom), plate 26 from Los Caprichos",1797,"Francisco José de Goya y Lucientes
Spanish, 1746-1828",Spain,Etching and aquatint on ivory laid paper,Clarence Buckingham Collection,,,Print,Prints and Drawings,,etching,Art Institute of Chicago,USA
"They Spin Finely, plate 44 from Los Caprichos",1797,"Francisco José de Goya y Lucientes
Spanish, 1746-1828",Spain,Etching and aquatint on ivory laid paper,Clarence Buckingham Collection,,,Print,Prints and Drawings,,etching,Art Institute of Chicago,USA
The Captive,1786,"Thomas Ryder (British, 1746–1810)
after Josiah Boydell (British, 1752–1817)
published by John Boydell (British, 1719–1804) and Josiah Boydell",United Kingdom,"Stipple engraving in black on ivory laid paper, laid down on cream wove paper",The Amanda S. Johnson and Marion J. Livingston Endowment Fund,,,Print,Prints and Drawings,,prints and drawing,Art Institute of Chicago,USA
Miravan,1772,"Valentine Green (English, 1739-1813)
after Joseph Wright of Derby (English, 1734-1797)",England,Mezzotint on off-white laid paper,Sara R. Shorey Endowment and Dr. William D. and Sara R. Shorey Fund,,,Print,Prints and Drawings,,mezzotint,Art Institute of Chicago,USA
Dish with Design of Landscape with Blossoming Trees,1699,"Ogata Kenzan
Japanese, 1699/1712",Japan,Glazed stoneware,Gift of Mr. and Mrs. Richard Barancik,,,Decorative Arts,Arts of Asia,Japanese (culture or style),dish (vessel),Art Institute of Chicago,USA
Openwork Hexagonal Ko-Kiyomizu Ware Bowl,1731,"Unknown artist
Japanese, 18th century",Japan,Stoneware with overglaze enamels,Japanese Art Shinkokai Acquisition Fund and Asian Art Acquisition Fund,,,Decorative Arts,Arts of Asia,Japanese (culture or style),bowl,Art Institute of Chicago,USA
Hand warmer (Te-aburi),1916,"Makuzu Kozan
Japanese, 1842-1916",Japan,Stoneware with celadon glaze,Gift of Mr. and Mrs. James Breece,,,Vessel,Arts of Asia,Japanese (culture or style),vessel,Art Institute of Chicago,USA
Lobed Bowl,1890,"Seifu Yohei III
Japanese, 1851-1914",Japan,Porcelain with incised floral design,Bequest of Henry C. Schwab,,,Decorative Arts,Arts of Asia,Japanese (culture or style),bowl,Art Institute of Chicago,USA
Headdress,1900,"Ejagham
Cross River region, Nigeria
Coastal West Africa",Nigeria,"Wood, antelope hide, pigment, cane, and fibers",Arts of Africa Curatorial Discretionary Fund; O. Renard Goltra Endowment Fund,"G. Berjonneau, and J.-L. Sonnery, Chefs-d’oeuvre inédits de l’Afrique noire (Paris, 1987), p. 165, no. 27.
J. Kerchache, J.-L. Paudrat, and L. Stephan, L’art africain (Paris, 1988), p. 415, no. 539.
E. Bassani, Le grand héritage. Sculptures de l’Afrique noire (Paris, 1992), p. 63.
J. Kerchache, J.-L. Paudrat, and L. Stephan, Art of Africa (New York, 1993), p. 415, no. 539.
Tribal Art Magazine, no. 59, spring 2011, p. 3.
H. Cole and D. Dierking, Invention and Tradition. The Art of Southeastern Nigeria (London, 2012), p. 195, no. 105.
J. Germain, Art ancien de l’Afrique Noire, vol. IV (Montreal, 2013), pp. 64-65 and 126.","Paris, Fondation Dapper, Le grand héritage. Sculptures de l’Afrique noire, 21 May - 15 September 1992
Montreal, Montreal Museum of Fine Arts, From Africa to the Americas. Face-to-face Picasso, Past and Present, 12 May - 16 September 2018.",Mask,Arts of Africa,ejagham,masks,Art Institute of Chicago,USA
